framework,backend,defense,asr,write,survive,retrieve,effect,authority_amplification,lineage
langchain,vector,none,1.0000,1.0000,1.0000,0.9896,0.9896,1.0000,0.5833
langchain,vector,minimal_defense,0.0000,0.7708,0.7708,0.1667,0.0000,0.0000,1.0000
langchain,summary,none,0.7500,1.0000,1.0000,1.0000,0.5000,0.7500,0.2500
langchain,summary,minimal_defense,0.0000,0.7708,0.7708,0.7708,0.0000,0.0000,1.0000
langchain,kv,none,0.7708,1.0000,1.0000,0.5000,0.5000,0.7708,0.6771
langchain,kv,minimal_defense,0.0000,0.7708,0.7708,0.0625,0.0000,0.0000,1.0000
llamaindex,vector,none,1.0000,1.0000,1.0000,1.0000,0.9792,1.0000,0.5833
llamaindex,vector,minimal_defense,0.0000,0.7708,0.7708,0.1667,0.0000,0.0000,1.0000
llamaindex,summary,none,0.7500,1.0000,1.0000,1.0000,0.5000,0.7500,0.2500
llamaindex,summary,minimal_defense,0.0000,0.7708,0.7708,0.7708,0.0000,0.0000,1.0000
llamaindex,kv,none,0.7708,1.0000,1.0000,0.5000,0.5000,0.7708,0.6771
llamaindex,kv,minimal_defense,0.0000,0.7708,0.7708,0.0625,0.0000,0.0000,1.0000
